fix_name,latitude,longitude,type
03WA,47.40822694,-117.37186361,AIRPORT
03WI,43.32478888,-87.92828333,AIRPORT
03WN,45.87545447,-120.67232602,AIRPORT
03WT,48.52493333,-122.91238888,AIRPORT
03WY,44.367936,-104.510698,AIRPORT
03XA,31.75741666,-106.34697222,AIRPORT
03XS,31.31805555,-100.75416666,AIRPORT
04A,31.73638694,-86.26245463,AIRPORT
04AA,60.53583333,-150.81138888,AIRPORT
04AL,33.62638888,-85.96722222,AIRPORT
04AN,61.73751111,-148.70072361,AIRPORT
04AR,34.57424444,-92.58603055,AIRPORT
04AZ,35.72177638,-114.45053888,AIRPORT
04CA,34.56664452,-117.67077219,AIRPORT
04CL,33.08171083,-116.44140444,AIRPORT
04FA,25.55871916,-80.51505722,AIRPORT
04FD,27.92937222,-82.33698333,AIRPORT
04FL,29.23942472,-81.222005,AIRPORT
04G,41.13047222,-80.61958333,AIRPORT
04GA,33.83236111,-83.56232777,AIRPORT
04IA,41.08835027,-92.05462027,AIRPORT
04ID,43.87766416,-116.53708055,AIRPORT
04IL,40.63753527,-89.00701888,AIRPORT
04IN,41.70138888,-85.11305555,AIRPORT
04IS,40.17864472,-88.5689525,AIRPORT
04KS,37.39854705,-100.03709419,AIRPORT
04KY,37.13505361,-85.78941555,AIRPORT
04LA,30.05101944,-90.70384722,AIRPORT
04LS,30.44699,-91.108916,AIRPORT
04M,33.93008333,-89.34327777,AIRPORT
04MA,42.80981138,-71.13922527,AIRPORT
04MD,39.51817222,-75.82107777,AIRPORT
04ME,44.66672861,-69.89394416,AIRPORT
04MI,42.53448111,-84.62831305,AIRPORT
04MN,47.98579222,-94.68691777,AIRPORT
04MO,39.043,-94.486,AIRPORT
04MS,32.93957166,-90.83732194,AIRPORT
04MT,47.13749777,-106.488095,AIRPORT
04NC,35.73926388,-78.78278333,AIRPORT
04NE,41.15999333,-101.2990525,AIRPORT
04NJ,39.59678111,-75.23351888,AIRPORT
04NR,34.77568055,-77.39221944,AIRPORT
04NV,35.75553138,-115.66472805,AIRPORT
04NY,42.26230916,-73.69623305,AIRPORT
04OG,45.53103055,-123.08599444,AIRPORT
04OH,41.23775833,-81.81549722,AIRPORT
04OK,36.11493333,-97.07592222,AIRPORT
04OR,44.74985527,-120.20112888,AIRPORT
04SC,34.84218888,-82.60712222,AIRPORT
04SD,44.993125,-101.24301111,AIRPORT
04TE,29.69971388,-95.39067777,AIRPORT
04TN,36.18333333,-82.67888888,AIRPORT
04TT,29.71369569,-99.54562294,AIRPORT
04TX,31.73222222,-97.36888888,AIRPORT
04UT,37.00832972,-110.79513666,AIRPORT
